chapter_no,chapter_name,section_no,section_name,excerise,problem_no,question
,,,,,7EA,"The waiting period from the time a book is ordered until it is received is a random variable with mean seven days and standard deviation two days. If Helen wants to be 95% sure that she receives a book by certain date, how early should she order the book?"
,,,,,8EA,"Show that for a nonnegative random variable X with mean ?, P(X ? 2?) ? 1/2"
,,,,,9EA,Suppose that X is a random variable with E(X) = Var(X) = ?. What does Chebyshev’s inequality say about P(X > 2?)?
,,,,,10EA,"From a distribution with mean 42 and variance 60, a random sample of size 25 is taken. Let X¯ be the mean of the sample. Show that the probability is at least 0.85 that X¯ ? (38, 46)"
,,,,,11EA,"The mean IQ of a randomly selected student from a specific university is ?; its variance is 150. A psychologist wants to estimate ?. To do so, for some n, she takes a sample of size n of the students at random and independently and measures their IQ’s. Then she finds the average of these numbers. How large a sample should she choose to make at least 92% sure that the average is accurate within ±3 points?"
,,,,,12EA,"For a distribution, the mean of a random sample is taken as estimation of the expected value of the distribution. How large should the sample size be so that, with a probability of at least 0.98, the error of estimation is less than 2 standard deviations of the distribution?"
,,,,,13EA,"To determine p, the proportion of time that an airline operator is busy answering customers, a supervisor observes the operator at times selected randomly and independently from other observed times. Let Xi = 1 if the ith time the operator is observed, he is busy; let Xi = 0 otherwise. For large values of n, if (1/n) n i=1 Xi’s are taken as estimates of p, for what values of n is the error of estimation at most 0.05 with probability 0.96?"
,,,,,14EA,"For a coin, p, the probability of heads is unknown. To estimate p, for some n, we flip the coin n times independently. Let p be the proportion of heads obtained. Determine the value of n for which pestimates p within ±0.05 with a probability of at least 0.94."
,,,,,15EA,"Let X be a random variable with mean ?. Show that if E (X ? ?)2n < ?, then for ? > 0, P  |X ? ?| ? ?  ? 1 ?2nE (X ? ?) 2n ."
,,,,,16EA,Let X be a random variable and k be a constant. Prove that P(X>t) ? E(e kX) e kt .
,,,,,17EA,"Prove that if the random variables X and Y satisfy E (X ? Y )2 = 0, then with probability 1, X = Y ."
,,,,,18EA,"Let X and Y be two randomly selected numbers from the set of positive integers {1, 2,...,n}. Prove that ?(X, Y )=1 if and only if X = Y with probability 1. Hint: First prove that E (X ? Y )2 = 0; then use Exercise 17."
,,,,,19EA,"Let X be a random variable; show that for ? > 1 and t > 0, P  X ? 1 t ln? ? 1 ? MX (t)."
,,,,Exercise B,1EB,"Let the probability density function of a random variable X be f(x) = xn n! e?x, x ? 0. Show that P(0 <X< 2n + 2) > n n + 1. Hint: Note that  ? 0 xne?x dx = ?(n + 1) = n!. Use this to calculate E(X) and Var(X). Then apply Chebyshev’s inequality"
,,,,,2EB,"Let {x1, x2,...,xn} be a set of real numbers and define x¯ = 1 n n i=1 xi, s2 = 1 n ? 1 n i=1 (xi ? x¯) 2. Prove that at least a fraction 1 ? 1/k2 of the xi’s are between x¯ ? ks and x¯ + ks. Sketch of a Proof: Let N be the number of x1, x2,...,xn that fall in A = [¯x ? ks, x¯ + ks]. Then s2 = 1 n ? 1 n i=1 (xi ? x¯) 2 ? 1 n ? 1  xi?A (xi ? x¯) 2 ? 1 n ? 1  xi?A k2 s2 = n ? N n ? 1 k2s2. This gives (N ? 1)/(n ? 1) ? 1 ? (1/k2). The result follows since N/n ? (N ? 1)/(n ? 1)."
,,11.4,Laws of Large Numbers,Exercise A,1EA,"Let {X1, X2,...} be a sequence of nonnegative independent random variables and, for all i, suppose that the probability density function of Xi is f(x) =  6x(1 ? x) if 0 ? x ? 1 0 otherwise. Find limn?? X1 + X2 + ··· + Xn n ."
,,,,,2EA,"Let {X1, X2,...} be a sequence of independent, identically distributed random variables with positive expected value. Show that for all M > 0, limn?? P(X1 + X2 + ··· + Xn > M)=1."
,,,,,3EA,Let X be a nonnegative continuous random variable with probability density function f(x). Define Yn =  1 if X>n 0 otherwise. Prove that Yn converges to 0 in probability
,,,,,4EA,"Let {X1, X2,...} be a sequence of independent, identically distributed random variables. In other words, for all n, let X1, X2,...,Xn be a random sample from a distribution with mean ? < ?. Let Sn = X1 + X2 + ··· + Xn, X¯n = Sn/n. Show that Sn grows at rate n. That is, limn?? P  n(? ? ?) ? Sn ? n(? + ?)  = 1."
,,,,Exercise B,1EB,"Suppose that in Example 11.21 rather than customers being served in their arrival order, they are served on a last-come, first-served basis, or they are simply served in a random order. Show that if ?"
,,,,,2EB,"In Example 11.21, suppose that at t = 0 the bank is not free, there are m > 0 customers waiting in a queue to be served, and a customer is being served. Show that, with probability 1, eventually, for some period, the bank will be empty of customers."
,,,,,3EB,"For a positive integer n, let ? (n) = (2k, i), where i is the remainder when we divide n by 2k, the largest possible power of 2. For example, ? (10) = (23, 2), ? (12) = (23, 4), ? (19) = (24, 3), and ? (69) = (26, 5). In an experiment a point is selected at random from [0, 1]. For n ? 1, ? (n) = (2k, i), let Xn = ? ? ? 1 if the outcome is in  i 2k , i + 1 2k  0 otherwise. Show that Xn converges to 0 in probability while it does not converge at any point, let alone almost sure convergence."
,,11.5,Central Limit Theorem,Exercise A,1EA,"What is the probability that the average of 150 random points from the interval(0, 1) is within 0.02 of the midpoint of the interval?"
,,,,,2EA,"For the scores on an achievement test given to a certain population of students, the expected value is 500 and the standard deviation is 100. Let X¯ be the mean of the scores of a random sample of 35 students from the population. Estimate P(460 < X"
,,,,,3EA,A random sample of size 24 is taken from a distribution with probability density function f(x) = ? ? ? 1 9  x + 5 2 1 <x< 3 0 otherwise. Let X¯ be the sample mean. Approximate P(2 < X
,,,,,4EA,"A random sample of size n (n ? 1) is taken from a distribution with the following probability density function: f(x) = 1 2 e?|x| , ?? <x< ?. What is the probability that the sample mean is positive?"
,,,,,5EA,"Let X1, X2,...,Xn be independent and identically distributed random variables, and let Sn = X1 + X2 + ···+ Xn. For large n, what is the approximate probability that Sn is between E(Sn) ? ?Sn and E(Sn) + ?Sn?"
,,,,,6EA,"Each time that Jim charges an item to his credit card, he rounds the amount to the nearest dollar in his records. If he has used his credit card 300 times in the last 12 months, what is the probability that his record differs from the total expenditure by, at most, 10 dollars?"
,,,,,7EA,"A physical quantity is measured 50 times, and the average of these measurements is taken as the result. If each measurement has a random error uniformly distributed over (?1, 1), what is the probability that our result differs from the actual value by less than 0.25?"
,,,,,8EA,"Suppose that, whenever invited to a party, the probability that a person attends with his or her guest is 1/3, attends alone is 1/3, and does not attend is 1/3. A company has invited all 300 of its employees and their guests to a Christmas party. What is the probability that at least 320 will attend?"
,,,,,9EA,Consider a distribution with mean ? and probability density function f(x) = ? ? ? 1 x ln(3/2) 4 ? x ? 6 0 elsewhere. Determine the values of n for which the probability is at least 0.98 that the mean of a random sample of size n from the population is within ±0.07 of ??
,,,,Exercise B,1EB,"An investor buys 1000 shares of the XYZ Corporation at $50.00 per share. Subsequently, the stock price varies by $0.125 (1/8) every day, but unfortunately it is just as likely to move down as up. What is the most likely value of his holdings after 60 days? Hint: First calculate the distribution of the change in the stock price after 60 days."
,,,,,2EB,"A fair coin is tossed successively. Using the central limit theorem, find an approximation for the probability of obtaining at least 25 heads before 50 tails."
,,,,,3EB,"Let {X1, X2,...} be a sequence of independent standard normal random variables. Let Sn = X2 1 + X2 2 + ··· + X2 n. Find limn?? P(Sn ? n + ? 2n). Hint: See Example 11.11"
,,,,,4EB,"Let {X1, X2,...} be a sequence of independent Poisson random variables, each with parameter 1. By applying the central limit theorem to this sequence, prove that limn?? 1 en n k=0 nk k! = 1 2"
,,,,Review Problems,1RP,"Yearly salaries paid to the salespeople employed by a certain company are normally distributed with mean $27,000 and standard deviation $4900. What is the probability that the average wage of a random sample of 10 employees of this company is at least $30,000?"
,,,,,2RP,The moment-generating function of a random variable X is given by MX (t) = 1 3 + 2 3 et 10 . Find Var(X) and P(X ? 8)
,,,,,3RP,The moment-generating function of a random variable X is given by MX (t) = 1 6 et + 1 3 e2t + 1 2 e3t . Find the distribution function of X.
,,,,,4RP,"For a random variable X, suppose that MX (t) = exp(2t 2 + t). Find E(X) and Var(X)."
,,,,,5RP,Let the moment-generating function of a random variable X be given by MX (t) = ? ?? ?? 1 t (et/2 ? e?t/2) if t = 0 1 if t = 0. Find the distribution function of X.
,,,,,6RP,The moment-generating function of X is given by MX (t) = exp et ? 1 2 . Find P(X > 0).
,,,,,7RP,"The moment-generating function of a random variable X is given by MX (t) = 1 (1 ? t)2 , t< 1. Find the moments of X."
,,,,,8RP,"Suppose that in a community the distributions of heights of men and women (in centimeters) are N(173, 40) and N(160, 20), respectively. Calculate the probability that the average height of 10 randomly selected men is at least 5 centimeters larger than the average height of six randomly selected women."
,,,,,9RP,"Find the moment-generating function of a random variable X with Laplace density function defined by f(x) = 1 2 e?|x| , ?? <x< ?."
,,,,,10RP,"Let X and Y be independent Poisson random variables with parameters ? and ?, respectively. (a) Show that P(X + Y = n) = n i=0 P(X = i)P(Y = n ? i). (b) Use part (a) to prove that X + Y is a Poisson random variable with parameter ? + ?."
,,,,,11RP,Let X¯ denote the mean of a random sample of size 28 from a distribution with ? = 1 and ?2 = 4. Approximate P(0.95 < X
,,,,,12RP,"In a clinical trial, the probability of success for a treatment is to be estimated. If the error of estimation is not allowed to exceed 0.01 with probability 0.94, how many patients should be chosen independently and at random for the treatment group?"
,,,,,13RP,"For a coin, p, the probability of heads is unknown. To estimate p, we flip the coin 5000 times and let p be the fraction of times it lands heads up. Show that the probability is at least 0.98 that pestimates p within ±0.05."
,,,,,14RP,"A psychologist wants to estimate ?, the mean IQ of the students of a university. To do so, she takes a sample of size n of the students and measures their IQ’s. Then she finds the average of these numbers. If she believes that the IQ’s of these students are independent random variables with variance 170, using the central limit theorem, how large a sample should she choose to be 98% sure that her average is accurate within ±0.2?"
,,,,,15RP,"Each time that Ed charges an expense to his credit card, he omits the cents and records only the dollar value. If this month he has charged his credit card 20 times, using Chebyshev’s inequality, find an upper bound on the probability that his record shows at least $15 less than the actual amount charged."
,,,,,16RP,"In a multiple-choice test with false answers receiving negative scores, the mean of the grades of the students is 0 and its standard deviation is 15. Find an upper bound for the probability that a student’s grade is at least 45."
,,,,,17RP,"A randomly selected book from Vernon’s library is X centimeters thick, where X ? N(3, 1). Vernon has an empty shelf 87 centimeters long. What is the probability that he can fit 31 randomly selected books on it?"
,,,,,18RP,A fair die is rolled 20 times. What is the approximate probability that the sum of the outcomes is between 65 and 75?
,,,,,19RP,"Show that for a nonnegative random variable X with mean ?, we have that ?n, nP(X ? n?) ? 1."
,,,,,20RP,"An ordinary deck of 52 cards is divided randomly into 26 pairs. Using Chebyshev’s inequality, find an upper bound for the probability that, at most, 10 pairs consist of a black and a red card. Hint: For i = 1, 2,..., 26, let Xi = 1 if the ith red card is paired with a black card and Xi = 0 otherwise. Find an upper bound for P  26 i=1 Xi ? 10 ."
12,Stochastic Processes,12.2,More on Poisson Processes,Exercise,1E,"For a Poisson process with parameter ?, show that, for all ? > 0, P    N(t) t ? ?    ? ?  ? 0, as t ? ?. This shows that, for a large t, N(t)/t is a good estimate for ?."
,,,,,2E,"The number of accidents at an intersection is a Poisson process N(t): t ? 0 with rate 2.3 per week. Let Xi be the number of injuries in accident i. Suppose that {Xi} is a sequence of independent and identically distributed random variables with mean 1.2 and standard deviation 0.7. Furthermore, suppose that the number of injuries in each accident is independent of the number of accidents that occur at the intersection. Let Y (t) = N(t) i=1 Xi; then Y (t), the total number of injuries from the accidents at that intersection, at or prior to t, is said to be a compound Poisson process. Find the expected value and the standard deviation of Y (52), the total number of injuries in a year."
,,,,,3E,"When Linda walks from home to work, she has to cross the street at a certain point. Linda needs a gap of 15 seconds in the traffic to cross the street at that point. Suppose that the traffic flow is a Poisson process, and the mean time between two consecutive cars passing by Linda is 7 seconds. Find the expected value of the time Linda has to wait before she can cross the street. Hint: Let X1 be the time between Linda’s arrival at the point and the first car
passing by her. Let X2 be the time between the first and second cars passing Linda,
and so forth. Let N be the first integer for which
X1 ? 15, X2 ? 15, ..., XN ? 15, XN+1 > 15.
The time Linda has to wait before being able to cross the street is 0 if N = 0 (i.e.,
X1 > 15) and is SN = X1+X2+···+XN otherwise. Calculate SN by conditioning
on N"
,,,,,4E,"Suppose that a fisherman catches fish at a Poisson rate of 2 per hour. We know that yesterday he began fishing at 9:00 A.M., and by 1:00 P.M. he caught 6 fish. What is the probability that he caught the first fish before 10:00 A.M.?"
,,,,,5E,"A wire manufacturing company has inspectors to examine the wire for fractures as it comes out of a machine. The number of fractures is distributed in accordance with a Poisson process, having one fracture on the average for every 60 meters of wire. One day an inspector had to take an emergency phone call, so she left her post for a few minutes. Later on, she was informed that, while she was away from her post, 200 meters of wire was manufactured with three fractures. What is the probability that the consecutive fractures, among this portion of wire manufactured, were at least 60 meters apart? Hint: Let N(t) be the number of fractures in the first t meters of wire manufactured after the inspector left her post; N(t): t ? 0 is a Poisson process with rate 60."
,,,,,6E,"Let N(t): t ? 0 be a Poisson process. For k ? 1, let Sk be the time that the kth event occurs. Show that E Sk | N(t) = n  = kt n + 1"
,,,,,7E,"Recall that an M/M/1 queueing system is a GI/G/1 system in which there is one server, customers arrive according to a Poisson process with rate ?, and service times are exponential with mean 1/?. For an M/M/1 system, each time a customer arrives at or a customer departs from the system, we say that a transition occurs. For a fixed t > 0, let A be the event that there will be no transitions during the next t minutes. Let B be the event that the next transition is an arrival. Show that A and B are independent. Note that this phenomenon might be counterintuitive."
,,,,,8E,"Recall that an M/M/1 queueing system is a GI/G/1 system in which there is one server, customers arrive according to a Poisson process with rate ?, and service times are exponential with mean 1/?. For an M/M/1 queueing system, (a) show that the number of arrivals during a period in which a customer is being served is geometric with parameter ?/(? + ?); (b) suppose that there are n customers waiting in the queue, and a customer is being served. Find the probability mass function of the number of new customers arriving by the time that all of these n + 1 customers are served."
,,,,,9E,"Customers arrive at a bank at a Poisson rate of ?. Let M(t) be the number of customers who enter the bank by time t only to make deposits to their accounts. Suppose that, independent of other customers, the probability is p that a customer enters the bank only to make a deposit. Show that M(t): t ? 0 is a Poisson process with parameter ?p."
,,,,,10E,"There are k types of shocks identified that occur, independently, to a system. For 1 ? i ? k, suppose that shocks of type i occur to the system at a Poisson rate of ?i. Find the probability that the nth shock occurring to the system is of type i, 1 ? i ? n. Hint: For 1 ? i ? k, let Ni(t) be the number of type i shocks occurring to the system at or prior to t. It can be readily seen that N1(t) + N1(t) + ··· + Nk(t) is a Poisson process at a rate of ? = ?1+?2+···+?k. Merging these Poisson processes to create a new Poisson process is called superposition of Poisson processes. For 1 ? i ? k, let Vi be the time of the first shock of type i occurring to the system. Argue that the desired probability is P  Vi = min(V1, V2,...,Vk)  . Then calculate this probability by conditioning on Vi."
,,12.3,Markov Chains,Exercise A,1EA,"In a community, there are N male and M female residents, N,M > 1000. Suppose that in a study, people are chosen at random and are asked questions concerning their opinion with regard to a specific issue. Let Xn = 1 if the nth person chosen is female, and Xn = 0 otherwise. Is {Xn : n = 1, 2,...} a Markov chain? Why or why not?"
,,,,,2EA,"For a Markov chain {Xn : n = 0, 1,...} with state space {0, 1, 2,...} and transition probability matrix P = (pij ), let p be the probability mass function of X0; that is, p(i) = P(X0 = i), i = 0, 1, 2,.... Find the probability mass function of Xn."
,,,,,3EA,"Consider a circular random walk in which six points 1, 2, ..., 6 are placed, in a clockwise order, on a circle. Suppose that one-step transitions are possible only from a point to its adjacent points with equal probabilities. Starting from 1, (a) find the probability that in 4 transitions the Markov chain returns to 1; (b) find the probability that in 5 transitions the Markov chain enters to an adjacent point of 1, namely, to 2 or 6."
,,,,,4EA,"Let {Xn : n = 0, 1,...} be a Markov chain with state space {0, 1, 2} and transition probability matrix P = ? ? 1/2 1/4 1/4 2/3 1/3 0 001 ? ? . Starting from 0, what is the probability that the process never enters 1?"
,,,,,5EA,"On a given day, Emmett drives to work (state 1), takes the train (state 2), or hails a taxi (state 3). Let Xn = 1 if he drives to work on day n, Xn = 2 if he takes the train on day n, and Xn = 3 if he hails a taxi on that day. Suppose that {Xn : n = 1, 2,...} is a Markov chain, and depending on how Emmett went to work the previous day, the probability of choosing any one of the means of transportation is given by the following transition probability matrix: P = ? ? 1/6 2/3 1/6 1/2 1/3 1/6 2/5 1/2 1/10 ? ? . (a) Given that Emmett took the train today and every day in the last five days,
what is the probability that he will not take the train to work tomorrow?
(b) If Emmett took the train to work today, what is the probability that he will not
take the train to work tomorrow and the day after tomorrow?"
,,,,,6EA,"Consider an Ehrenfest chain with 5 balls (see Example 12.15). If the probability mass function of X0, the initial number of balls in urn I, is given by P(X0 = i) = i 15, 0 ? i ? 5, find the probability that, after 6 transitions, urn I has 4 balls."
,,,,,7EA,"The following is the transition probability matrix of a Markov chain with state space {0, 1, 2, 3, 4}. Specify the classes, and determine which classes are transient and which are recurrent. P = ? ????? 2/50 03/5 0 1/3 1/301/3 0 0 01/201/2 1/40 03/4 0 0 01/302/3 ? ?????"
,,,,,8EA,"A fair die is tossed repeatedly. The maximum of the first n outcomes is denoted by Xn. Is {Xn : n = 1, 2,...} a Markov chain? Why or why not? If it is a Markov chain, calculate its transition probability matrix, specify the classes, and determine which classes are recurrent and which are transient."
,,,,,9EA,"Construct a transition probability matrix of a Markov chain with state space {1, 2,..., 8} in which {1, 2, 3} is a transient class having period 3, {4} is an aperiodic transient class, and {5, 6, 7, 8} is a recurrent class having period 2."
,,,,,10EA,"The following is the transition probability matrix of a Markov chain with state space {1, 2,..., 7}. Starting from state 6, find the probability that the Markov chain will eventually be absorbed into state 4. P = ? ????????? 0.3 0.70 0 0 0 0 0.3 0.2 0.50 0 0 0 0 0 00.6 0.40 0 0001000 0010000 0.1 0.3 0.100.2 0.2 0.1 0000001 ? ?????????"
,,,,,11EA,"On a given vacation day, a sportsman goes horseback riding (activity 1), sailing (activity 2), or scuba diving (activity 3). Let Xn = 1 if he goes horseback riding on day n, Xn = 2 if he goes sailing on day n, and Xn = 3 if he goes scuba diving on that day. Suppose that {Xn : n = 1, 2,...} is a Markov chain, and depending on which one of these activities the sportsman chooses on a vacation day, his probability of engagement in any one of the activities on the next vacation day is given by the
following transition probability matrix:
P =
?
?
0.20 0.30 0.50
0.32 0.15 0.53
0.60 0.13 0.27
?
? .
Find the long-run probability that, on a randomly selected vacation day, the sportsman sails.
"
,,,,,12EA,"An observer at a lake notices that when fish are caught, only 1 out of 9 trout is caught after another trout, with no other fish between, whereas 10 out of 11 non-trout are caught following nontrout, with no trout between. Assuming that all fish are equally likely to be caught, what fraction of fish in the lake is trout?"
,,,,,13EA,"Three players play a game in which they take turns and draw cards from an ordinary deck of 52 cards, successively, at random and with replacement. Player I draws cards until an ace is drawn. Then player II draws cards until a diamond is drawn. Next, player III draws cards until a face card is drawn. At that point, the deck will be given to player I and the game continues. Determine the long-run proportion of cards drawn by each player."
,,,,,14EA,"For Example 12.10, where a mouse is moving inside the given maze, find the probability that the mouse is in cell i, 1 ? i ? 9, at a random time in the future."
,,,,,15EA,Consider an Ehrenfest chain with 5 balls (see Example 12.15). Find the expected number of balls transferred between two consecutive times that an urn becomes empty
,,,,,16EA,"Seven identical balls are randomly distributed among two urns. Step 1 of a game begins by flipping a fair coin. If it lands heads up, urn I is selected; otherwise, urn II is selected. In step 2 of the game, a ball is removed randomly from the urn selected in step 1. Then the coin is flipped again. If it lands heads up, the ball will be placed in urn I. Otherwise, it will be placed in urn II. If this game is played successively, what are the long-run probability mass functions of the number of balls in urns I and II?"
,,,,,17EA,"In Example 12.13, at the Writing Center of a college, pk > 0 is the probability that a new computer needs to be replaced after k semesters. For a computer in use at the end of the nth semester, let Xn be the number of additional semesters it remains functional. Then {Xn : n = 0, 1,...} is a Markov chain with transition probability matrix P = ? ????? ? p1 p2 p3 ... 100 ... 010 ... 001 ... . . . ? ????? ? . Show that {Xn : n = 0, 1,...} is irreducible, recurrent, and aperiodic. Find the long-run probability that a computer selected randomly at the end of a semester will last at least k additional semesters."
,,,,,18EA,"Mr. Gorfin is a movie buff who watches movies regularly. His son has observed that whether Mr. Gorfin watches a drama or not depends on the previous two movies he has watched with the following probabilities: 7/8 if the last two movies he watched were both dramas, 1/2 if exactly one of them was a drama, and 1/8 if none of them was a drama. (a) Mr. Gorfin watched four movies last weekend. If the first two were dramas, what is the probability that the fourth one was a drama as well? (b) What is the long-run probability that Mr. Gorfin will watch two dramas in a row?"
,,,,,19EA,"A fair die is tossed repeatedly. We begin studying the outcomes after the first 6 occurs. Let the first 6 be called the zeroth outcome, let the first outcome after the first six, whatever it is, be called the first outcome, and so forth. For n ? 1, define Xn = i if the last 6 before the nth outcome occurred i tosses ago. Thus, for example, if the first 7 outcomes after the first 6 are 1, 4, 6, 5, 3, 1, and 6, then X1 = 1, X2 = 2, X3 = 0, X4 = 1, X5 = 2, X6 = 3, and X7 = 0. Show that {Xn : n = 1, 2,...} is a Markov chain, and find its transition probability matrix. Furthermore, show that {Xn : n = 1, 2,...} is an irreducible, positive recurrent, aperiodic Markov chain. For i ? 1, find ?i, the long-run probability that the last 6 occurred i tosses ago."
,,,,,20EA,"Alberto and Angela play backgammon regularly. The probability that Alberto wins a game depends on whether he won or lost the previous game. It is p for Alberto to win a game if he lost the previous game, and p to lose a game if he won the previous one. (a) For n > 1, show that if Alberto wins the first game, the probability is 1 2 + 1 2 (1 ? 2p) n that he will win the nth game. (b) Find the expected value of the number of games Alberto will play between two consecutive wins."
,,,,,21EA,"Let {Xn : n = 0, 1,...} be a random walk with state space {0, 1, 2,...} and transition probability matrix P = ? ???????? 1 ? p p 0 0 00 ... 1 ? p 0 p 0 00 ... 0 1 ? p 0 p 0 0 ... 0 01 ? p 0 p 0 ... 0 0 01 ? p 0 p ... . . . ? ???????? , where 0 <p< 1. (See Example 12.12.) Determine those values of p for which, for each j ? 0, limn?? pn ij exists and is independent of i. Then find the limiting probabilities"
,,,,Exercise B,1EB,"Carl and Stan play the game of “heads or tails,” in which each time a coin lands heads up, Carl wins $1 from Stan, and each time it lands tails up, Stan wins $1 from Carl. Suppose that, initially, Carl and Stan have the same amount of money and, as necessary, will be funded equally so that they can continue playing indefinitely. If the coin is not fair and lands heads up with probability 0.46, what is the probability that Carl will ever get ahead of Stan?"
,,,,,2EB,"Let {Xn : n = 0, 1,...} be a Markov chain with state space S. For i0, i1, ..., in, j ? S, n ? 0, and m > 0, show that P(Xn+m = j | X0 = i0, X1 = i1,...,Xn = in) = P(Xn+m = j | Xn = in)."
,,,,,3EB,"For a two-dimensional symmetric random walk, defined in Example 12.22, show that (0, 0) is recurrent and conclude that all states are recurrent."
,,,,,4EB,"Recall that an M/M/1 queueing system is a GI/G/c system in which customers arrive according to a Poisson process with rate ?, and service times are exponential with mean 1/?. For an M/M/1 queueing system, each time that a customer arrives to the system or a customer departs from the system, we say that a transition occurs. Let Xn be the number of customers in the system immediately after the nth transition. Show that {Xn : n = 1, 2,...} is a Markov chain, and find its probability transition matrix. Find the period of each state of the Markov chain."
,,,,,5EB,"Show that if P and Q are two transition probability matrices with the same number of rows, and hence columns, then P Q is also a transition probability matrix. Note that this implies that if P is a transition probability matrix, then so is P n for any positive integer n."
,,,,,6EB,"Consider a Markov chain with state space S. Let i, j ? S. We say that state j is accessible from state i in n steps if there is a path i = i1, i2, i3, ..., in = j with i1, i2,...,in ? S and pimim+1 > 0, 1 ? m ? n ? 1. Show that if S is finite having K states, and j is accessible from i, then j is accessible from i in K or fewer steps. Hint: Use the Pigeonhole Principle: If n>K pigeons are placed into K pigeonholes, then at least one pigeonhole is occupied by two or more pigeons"
,,,,,7EB,"Let {Xn : n = 0, 1,...} be a Markov chain with state space S and probability transition matrix P = (pij ). Show that periodicity is a class property. That is, for i, j ? S, if i and j communicate with each other, then they have the same period."
,,,,,8EB,"Every Sunday, Bob calls Liz to see if she will play tennis with him on that day. If Liz has not played tennis with Bob since i Sundays ago, the probability that she will say yes to him is i/k, k ? 2, i = 1, 2, ..., k. Therefore, if, for example, Liz does not play tennis with Bob for k ? 1 consecutive Sundays, then she will play with him the next Sunday with probability 1. On the nth Sunday, after Bob calls Liz, the number of times Liz has said no to Bob since they last played tennis is denoted by Xn. For
0 ? i ? k ?1, find the long-run probability that Liz says no to Bob for i consecutive
Sundays. (Note that the answer is not 1/k.)"
,,,,,9EB,"Consider the gambler’s ruin problem (Example 3.14) in which two gamblers play the game of “heads or tails.” Each time a fair coin lands heads up, player A wins $1 from player B, and each time it lands tails up, player B wins $1 from A. Suppose that, initially, player A has a dollars and player B has b dollars. We know that eventually either player A will be ruined in which case B wins the game, or player B will be ruined in which case A wins the game. Let T be the duration of the game. That is, the number of times A and B play until one of them is ruined. Find E(T)."
,,,,,10EB,"Consider the branching process of Example 12.24. In that process, before death an organism produces j (j ? 0) offspring with probability ?j . Let X0 = 1, and let ?, the expected number of offspring of an organism, be greater than 1. Let p be the probability that extinction will occur. Show that p is the smallest positive root of the equation x = ? i=0 ?ixi"
,,,,,11EB,"In this exercise, we will outline a third technique for solving Example 3.31: We draw cards, one at a time, at random and successively from an ordinary deck of 52 cards with replacement. What is the probability that an ace appears before a face card? Hint: Consider a Markov chain {Xn : n = 1, 2,...} with state space {1, 2, 3} and transition probability matrix P = ? ? 9/13 1/13 3/13 010 001 ? ? . The relation between the problem we want to solve and the Markov chain {Xn : n = 1, 2,...} is as follows: As long as a non-ace, non-face card is drawn, the Markov chain remains in state 1. If an ace is drawn before a face card, it enters the absorbing state 2 and will remain there indefinitely. Similarly, if a face card is drawn before an ace, the process enters the absorbing state 3 and will remain there forever. Let An be the event that the Markov chain moves from state 1 to state 2 in n steps. Show that A1 ? A2 ?···? An ? An+1 ?··· , and calculate the desired probability P  ? n=1 An  by applying Theorem 1.8: P  ? n=1 An  = limn?? P(An) = limn?? pn 12."
,,,,,12EB,"For a simple random walk {Xn : n = 0, ±1, ±2,...}, discussed in Examples 12.12 and 12.22, show that P(Xn = j | X0 = i) =  n n + j ? i 2  p(n+j?i)/2(1 ? p) (n?j+i)/2 if n + j ? i is an even nonnegative integer for which n + j ? i
2 ? n, and it is 0
otherwise."
,,12.4,Continuous-Time Markov Chains,Exercise A,1EA,"Let X(t): t ? 0 be a continuous-time Markov chain with state space S. Show that for i, j ? S and t ? 0, p ij (t) = k=i qikpkj (t) ? ?ipij (t). In other words, prove Kolmogorov’s backward equations."
,,,,,2EA,"The director of the study abroad program at a college advises one, two, or three students at a time depending on how many students are waiting outside his office. The time for each advisement session, regardless of the number of participants, is exponential with mean 1/?, independent of other advisement sessions and the arrival process. Students arrive at a Poisson rate of ? and wait to be advised only if two or less other students are waiting to be advised. Otherwise, they leave. Upon the completion of an advisement session, the director will begin a new session if there are students waiting outside his office to be advised. Otherwise, he begins a new session when the next student arrives. Let X(t) = f if the director of the study abroad program is free and, for i = 0, 1, 2, 3, let X(t) = i if an advisement session is in process and there are i students waiting outside to be advised. Show that X(t): t ? 0 is a continuous-time Markov chain and find ?f , ?0, ?1, ?2, and ?3, the steadystate probabilities of this process."
,,,,,3EA,"Taxis arrive at the pick up area of a hotel at a Poisson rate of ?. Independently, passengers arrive at the same location at a Poisson rate of ?. If there are no passengers waiting to be put in service, the taxis wait in a queue until needed. Similarly, if there are no taxis available, passengers wait in a queue until their turn for a taxi service. For n ? 0, let X(t)=(n, 0) if there are n passengers waiting in the queue for a taxi. For m ? 0, let X(t) = (0, m) if there are m taxis waiting in the queue for passengers. Show that X(t): t ? 0 is a continuous-time Markov chain, and write down the balance equations for the states of this Markov chain. You do not need to find the limiting probabilities."
,,,,,4EA,"An M/M/? queueing system is similar to an M/M/1 system except that it has infinitely many servers. Therefore, all customers will be served upon arrival, and there will not be a queue. Examples of infinite-server systems are service facilities that provide self-service such as libraries. Consider an M/M/? queuing system in which customers arrive according to a Poisson process with rate ?, and service times are exponentially distributed with mean 1/?. Find the long-run probability mass function and the expected value of the number of customers in the system"
